Name;Preview;Price;URL
Вельветовая куртка на искусственном меху;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5862H-99X-001-1.jpg;2999RUB;https://www.reserved.com/ru/ru/5862h-99x
Вельветовая куртка на искусственном меху;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5862H-80X-003-1.jpg;2999RUB;https://www.reserved.com/ru/ru/5862h-80x
Рубашка slim fit с мелким узором;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/2/7/2734C-99P-002-1.jpg;1299RUB;https://www.reserved.com/ru/ru/2734c-99p
Свитшот basic классического кроя;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/4/3406C-01X-001-1_1.jpg;999RUB;https://www.reserved.com/ru/ru/3406c-01x
Спортивные брюки;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/0/3070I-99X-002-1_1.jpg;1999RUB;https://www.reserved.com/ru/ru/3070i-99x
Футболка с принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/2/6238H-99X-010-1_1.jpg;599RUB;https://www.reserved.com/ru/ru/6238h-99x
Брюки джоггеры;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/8/3/8379H-99X-010-1_2.jpg;1699RUB;https://www.reserved.com/ru/ru/8379h-99x
Стеганая куртка с карманами;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/2/3/2342C-28X-002-1.jpg;1599RUB;https://www.reserved.com/ru/ru/2342c-28x
Рубашка comfort fit;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/9/5972H-65X-040-1_8.jpg;1999RUB;https://www.reserved.com/ru/ru/5972h-65x
Рубашка поло;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/4/5/4560C-59M-010-1_5.jpg;999RUB;https://www.reserved.com/ru/ru/4560c-59m
Рубашка поло;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/4/5/4560C-08M-001-1_5.jpg;999RUB;https://www.reserved.com/ru/ru/4560c-08m
Футболка из текстурированной ткани;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/8/2/8235H-01M-002-1_1.jpg;999RUB;https://www.reserved.com/ru/ru/8235h-01m
Худи с минималистичной надписью;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/7/3709C-99X-001-1_1.jpg;1299RUB;https://www.reserved.com/ru/ru/3709c-99x
Худи с небольшим элементом с надписью;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/7/3709C-08X-001-1_1.jpg;1299RUB;https://www.reserved.com/ru/ru/3709c-08x
СТЕГАНАЯ ТОЛСТОВКА ИЗ КОМБИНИРОВАННЫХ МАТЕРИАЛОВ;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/0/6054H-99X-011-1_1.jpg;1599RUB;https://www.reserved.com/ru/ru/6054h-99x
Брюки jogger;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/3/3333C-87X-003-1_2.jpg;1299RUB;https://www.reserved.com/ru/ru/3333c-87x
Рубашка из органического хлопка;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/2/8/2818C-01X-010-1_1.jpg;1299RUB;https://www.reserved.com/ru/ru/2818c-01x
Футболка с мелким принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/0/5095C-99X-042-1_1.jpg;599RUB;https://www.reserved.com/ru/ru/5095c-99x
Рубашка поло с воротником-стойкой;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/X/X/XX560-99X-001-1.jpg;799RUB;https://www.reserved.com/ru/ru/xx560-99x
"Футболка с принтом ""лама""";https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/3/6362H-59M-010-1_2.jpg;599RUB;https://www.reserved.com/ru/ru/6362h-59m
Рубашка хлопчатобумажная regular fit;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/6/5/6500H-80X-002-1_2.jpg;1299RUB;https://www.reserved.com/ru/ru/6500h-80x
Джоггеры карго slim fit;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/8/5/8500H-80X-010-1.jpg;1999RUB;https://www.reserved.com/ru/ru/8500h-80x
Футболка с принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/3/8/3821C-99X-001-1_2.jpg;799RUB;https://www.reserved.com/ru/ru/3821c-99x
Джоггеры карго;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/8/3/8386H-87X-010-1.jpg;1999RUB;https://www.reserved.com/ru/ru/8386h-87x
Стеганая куртка с капюшоном;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/8/5898H-80X-003-1_1.jpg;2999RUB;https://www.reserved.com/ru/ru/5898h-80x
Футболка с художественным графическим принтом;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/5/9/5941H-01X-010-1_1.jpg;799RUB;https://www.reserved.com/ru/ru/5941h-01x
Свитер из текстурированного трикотажа;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Y/W/YW718-80M-003-1_4.jpg;1999RUB;https://www.reserved.com/ru/ru/yw718-80m
Свитер из текстурированного трикотажа;https://www.reserved.com/media/catalog/product/cache/850/a4e40ebdc3e371adff845072e1c73f37/Y/W/YW718-85M-004-1_4.jpg;1999RUB;https://www.reserved.com/ru/ru/yw718-85m
